Noise Level,Rcorr,dcorr
0.0,0.9972552948917754,1.0
0.05,0.9883399186032419,0.9876180783079817
0.1,0.945868757533486,0.9411392492717506
0.15000000000000002,0.8995082049703919,0.8897126243765598
0.2,0.8759945778963594,0.8592466895986671
0.25,0.7431554861615436,0.754200142165061
0.30000000000000004,0.7509389893809675,0.7397442386569715
0.35000000000000003,0.6646789488070143,0.6656357751600097
0.4,0.622823902698781,0.6462366088156912
0.45,0.48614581375115445,0.5423816971745418
0.5,0.4894066586034645,0.5596452883921724
0.55,0.4418037649642078,0.47612336519069187
0.6000000000000001,0.4563438094833763,0.4759239058729138
0.65,0.391504327202691,0.4706652072301484
0.7000000000000001,0.37143153258251055,0.42073397088078035
0.75,0.41533098891860437,0.45055036428838297
0.8,0.2685457133305427,0.34772818657727134
0.8500000000000001,0.3714951370993195,0.4109940954435075
0.9,0.2992322388942007,0.4007558163264989
0.9500000000000001,0.23789463651544535,0.3527115006928889
1.0,0.2036248650800721,0.3150739468076484
1.05,0.2517090608017284,0.3574494418063717
1.1,0.160927664334167,0.3196586879087367
1.1500000000000001,0.259071424442522,0.33659062703527765
1.2000000000000002,0.261391668875768,0.3261630894107035
1.25,0.11550862886172163,0.2707167505788961
1.3,0.06987202602526221,0.2607196442809793
1.35,0.17829680987486787,0.3168954160712032
1.4000000000000001,0.2476584270765408,0.337663145297162
1.4500000000000002,0.2113094063826935,0.32756047721563736
1.5,0.1648746747643712,0.26265153680859754
1.55,0.21403774869822842,0.2899183404248115
1.6,-0.03613812075162178,0.24429931196584034
1.6500000000000001,0.13532417638497984,0.25560071681982466
1.7000000000000002,0.18350361584151909,0.2728658085169153
1.75,0.036823088221505686,0.24140755218016843
1.8,0.049265117735669696,0.22583397693030471
1.85,0.20041941033008853,0.28104006204364124
1.9000000000000001,0.19820479673107022,0.3157050055456858
1.9500000000000002,0.10616634480280188,0.2509768086323675
2.0,0.10869784565703447,0.2441921882650927
